ls,"Short for lists; displays the file and directory names in the current working directory."
pwd,"Prints the path for the working directory starting at the root."
rm,"Remove command, used to remove objects like files, directories, symbolic links and more from the file system."
man,"Displays the user manual of any terminal command."
kill,"Manually terminates a process, sends a signal to a process that terminates the desired process"
alias,"Instructs the shell to replace a string with a different one when executing the command. Allows you to make custom mini-commands that symbolize a longer standard command."
exit,"Exits the shell where it is currently running"
cp,"Copies files, groups of files, or a direcotry."
g++,"Used for preprocessing, compilation, assembely, and linking of source code to generate an executable file."
top,"Provides a dynamic real-time view of the running system."
chown,"Changes the file owner or group."
clear,"Clears the terminal screen."
cd,"Changes the current working direcotry."
mv,"Used to move one or more files or directories from one place to another in a file system like UNIX."
gcc,"GNU Compiler Collections, used mainly to compile C and C++ language. Can also be used on Objective C and Objective C++."
who,"Displays information about the current user logged into the system."
df,"Displays information about the file system like total and available space."
find,"Finds files and directories to perform operations on them."
mkdir, "Creates a new directory with the specified name."
ssh,"Protocol used to securely connect to a remove server/system."
make,"Reads the provides Makefile and then compiles/links the necessary files as instructed by the Makefile."
chmod,"Changes the access mode of a file."
grep,"Searches a file for a particular pattern of characters, and displays all lines that contain that pattern."
finger,"Gives details of all users currently logged in."
rmdir,"Removes empty directories from the file system."
scp,"Copies files between servers in a sercure fashion"
ps,"Lists the currently running process along with some other information"
cat,"Reads data from a file and gives the content as output."
echo,"Displays a line of text that is passed as an argument. Can also be used to add lines to a file."
free,"Displays the total amount of free space available along with the amount of memeory used and swap memory in the system, and also the buffers used by the kernel."
